Time,L2P6(W),Smoothing(a=0.3),Moving average
804,265.5,191.2782032,195.22
805,212.4,213.5447423,205.72
806,215.1,213.2013196,201.88
807,175.2,213.7709237,204.46
808,154.1,202.1996466,193.94
809,212.9,187.7697526,196
810,222.7,195.3088268,182.9
811,149.6,203.5261788,201.54
812,268.4,187.3483251,205.98
813,176.3,211.6638276,224.26
814,304.3,201.0546793,246.8
815,335.4,232.0282755,254.08
816,186,263.0397929,241.7
817,206.5,239.927855,246.22
818,198.9,229.8994985,220.04
819,173.4,220.599649,186.48
820,167.6,206.4397543,197.4
821,240.6,194.787828,217.12
822,305.1,208.5314796,225.78
823,242.2,237.5020357,226.64
824,177.7,238.911425,230.82
825,188.5,220.5479975,207.6
826,124.5,210.9335982,173.84
827,136.3,185.0035188,163.04
828,188.2,170.3924631,158.44
829,154.7,175.7347242,155.58
830,174.2,169.4243069,161.3
831,153.1,170.8570149,185.12
832,255.4,165.5299104,205.82
833,291.7,192.4909373,215
834,200.6,222.2536561,211.7
835,157.7,215.7575593,215.48
836,172,198.3402915,203.42
837,195.1,190.438204,193.52
838,242.2,191.8367428,189.6
839,181,206.94572,211.26
840,266,199.162004,222.74
841,229.4,219.2134028,220.92
842,186,222.269382,200.38
843,139.5,211.3885674,198.42
844,171.2,189.8219972,185.42
845,201,184.235398,186.78
846,236.2,189.2647786,187.92
847,191.7,203.345345,192.8
848,163.9,199.8517415,206.88
849,241.6,189.0662191,214.76
850,240.4,204.8263533,198.42
851,154.5,215.4984473,205.46
852,226.9,197.1989131,217.18
853,222.5,206.1092392,213.52
854,223.3,211.0264674,210.42
855,224.9,214.7085272,214.62
856,175.5,217.765969,203.04
857,169,205.0861783,195.92
858,186.9,194.2603248,184.42
859,165.8,192.0522274,170.86
860,157.1,184.1765592,180.32
861,222.8,176.0535914,184.9
862,191.9,190.077514,204.72
863,286,190.6242598,216.12
864,222.8,219.2369819,233.18
865,242.4,220.3058873,237.56
866,244.7,226.9341211,260.28
867,305.5,232.2638848,237.6
868,172.6,254.2347193,244.96
869,259.6,229.7443035,237.64
870,205.8,238.7010125,219.9
871,156,228.8307087,188.08
872,146.4,206.9814961,204.2
873,253.2,188.8070473,198.4
874,230.6,208.1249331,187.42
875,150.9,214.8674532,200.64
876,222.1,195.6772172,214.18
877,214.1,203.6040521,199.46
878,179.6,206.7528364,199.24
879,229.5,198.6069855,209.12
880,200.3,207.8748899,192.28
881,137.9,205.6024229,194.14
882,223.4,185.291696,216.34
883,290.6,196.7241872,218.26
